"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.08.2020","7.020,00","7.002,00","7.067,00","6.953,00","-","0,65%"
"03.08.2020","6.975,00","6.867,40","6.983,30","6.788,90","282,34M","1,42%"
"31.07.2020","6.877,40","7.025,20","7.049,50","6.877,40","312,30M","-1,70%"
"30.07.2020","6.996,60","7.192,30","7.192,70","6.924,70","324,38M","-2,91%"
"29.07.2020","7.206,20","7.247,60","7.260,20","7.171,30","210,36M","-0,55%"
"28.07.2020","7.246,40","7.191,90","7.257,30","7.170,60","162,30M","1,06%"
"27.07.2020","7.170,60","7.267,80","7.268,00","7.141,30","232,71M","-1,70%"
"24.07.2020","7.294,70","7.301,80","7.322,70","7.241,10","183,91M","-1,22%"
"23.07.2020","7.384,90","7.434,70","7.442,20","7.357,20","167,59M","-0,07%"
"22.07.2020","7.390,10","7.474,70","7.498,60","7.368,20","192,70M","-1,39%"
"21.07.2020","7.494,50","7.554,20","7.654,80","7.473,50","300,45M","0,22%"
"20.07.2020","7.478,00","7.442,50","7.495,50","7.365,10","148,68M","0,51%"
"17.07.2020","7.440,40","7.474,10","7.485,00","7.395,80","196,83M","-0,46%"
"16.07.2020","7.474,70","7.438,80","7.498,00","7.425,30","178,62M","-0,17%"
"15.07.2020","7.487,60","7.416,10","7.529,60","7.317,60","262,96M","1,84%"
"14.07.2020","7.352,00","7.344,40","7.352,00","7.268,40","201,39M","-1,01%"
"13.07.2020","7.426,90","7.403,20","7.452,10","7.345,90","179,02M","1,45%"
"10.07.2020","7.321,10","7.198,40","7.324,30","7.183,20","182,31M","1,16%"
"09.07.2020","7.236,90","7.369,90","7.383,50","7.221,10","176,47M","-1,22%"
"08.07.2020","7.326,40","7.361,00","7.382,70","7.307,40","213,49M","-1,62%"
"07.07.2020","7.447,40","7.491,50","7.511,30","7.441,30","191,35M","-1,44%"
"06.07.2020","7.556,20","7.566,50","7.632,30","7.517,30","253,51M","2,06%"
"03.07.2020","7.403,50","7.510,30","7.520,60","7.374,90","181,47M","-1,27%"
"02.07.2020","7.498,60","7.292,70","7.538,20","7.292,70","310,24M","3,75%"
"01.07.2020","7.227,40","7.245,60","7.283,90","7.127,10","194,03M","-0,06%"
"30.06.2020","7.231,40","7.270,60","7.307,50","7.173,00","233,65M","-0,64%"
"29.06.2020","7.278,10","7.160,10","7.318,30","7.146,30","216,62M","1,39%"
"26.06.2020","7.178,40","7.324,50","7.344,90","7.172,10","215,72M","-1,26%"
"25.06.2020","7.270,30","7.176,40","7.295,80","7.077,80","267,87M","1,04%"
"24.06.2020","7.195,50","7.403,90","7.440,90","7.195,50","248,46M","-3,27%"
"23.06.2020","7.438,40","7.408,80","7.495,10","7.366,60","260,90M","1,26%"
"22.06.2020","7.345,70","7.371,60","7.426,90","7.300,70","220,42M","-0,92%"
"19.06.2020","7.414,20","7.444,20","7.502,10","7.401,00","634,64M","0,32%"
"18.06.2020","7.390,20","7.436,40","7.495,20","7.318,10","326,76M","-1,18%"
"17.06.2020","7.478,70","7.458,10","7.552,50","7.402,50","333,50M","-0,22%"
"16.06.2020","7.495,30","7.420,80","7.599,30","7.349,70","388,21M","3,25%"
"15.06.2020","7.259,30","7.116,90","7.309,40","7.062,90","329,04M","-0,46%"
"12.06.2020","7.292,70","7.232,20","7.425,30","7.205,00","370,13M","0,20%"
"11.06.2020","7.278,00","7.486,50","7.486,50","7.278,00","456,67M","-5,04%"
"10.06.2020","7.663,90","7.779,80","7.861,00","7.649,40","355,56M","-1,14%"
"09.06.2020","7.752,30","7.878,20","7.914,70","7.683,20","453,06M","-1,82%"
"08.06.2020","7.896,10","7.813,10","7.992,70","7.796,60","557,21M","0,30%"
"05.06.2020","7.872,60","7.672,00","7.890,40","7.664,10","573,28M","4,04%"
"04.06.2020","7.566,80","7.567,70","7.669,20","7.516,00","514,86M","-0,78%"
"03.06.2020","7.626,40","7.487,30","7.629,70","7.448,90","445,04M","2,95%"
"02.06.2020","7.408,10","7.264,00","7.445,30","7.236,90","402,95M","2,59%"
"01.06.2020","7.221,40","7.228,70","7.276,00","7.160,10","291,93M","1,76%"
"29.05.2020","7.096,50","7.164,30","7.201,80","7.096,50","903,98M","-1,77%"
"28.05.2020","7.224,10","7.237,30","7.244,50","7.141,40","375,47M","0,69%"
"27.05.2020","7.174,50","7.034,00","7.229,00","7.030,20","501,01M","2,44%"
"26.05.2020","7.003,90","6.940,60","7.023,80","6.917,10","383,73M","2,15%"
"25.05.2020","6.856,80","6.766,60","6.856,80","6.725,20","187,07M","2,38%"
"22.05.2020","6.697,50","6.618,20","6.751,80","6.585,70","292,69M","0,17%"
"21.05.2020","6.686,10","6.612,70","6.773,40","6.579,90","258,58M","0,04%"
"20.05.2020","6.683,60","6.593,40","6.697,10","6.499,10","341,45M","1,13%"
"19.05.2020","6.609,10","6.864,20","6.872,60","6.555,60","501,36M","-2,51%"
"18.05.2020","6.779,30","6.583,10","6.790,20","6.558,10","203,49M","4,70%"
"15.05.2020","6.474,90","6.594,40","6.624,30","6.466,00","203,85M","-1,08%"
"14.05.2020","6.545,60","6.569,70","6.609,00","6.421,40","258,95M","-1,29%"
"13.05.2020","6.631,40","6.694,00","6.728,20","6.631,40","245,67M","-1,94%"
"12.05.2020","6.762,70","6.672,70","6.795,10","6.663,20","172,85M","1,36%"
"11.05.2020","6.672,20","6.830,90","6.854,70","6.651,70","217,44M","-1,63%"
"08.05.2020","6.783,10","6.790,70","6.807,40","6.715,40","128,58M","0,78%"
"07.05.2020","6.730,90","6.714,90","6.747,20","6.666,40","167,46M","0,89%"
"06.05.2020","6.671,70","6.719,80","6.762,50","6.666,20","166,02M","-1,13%"
"05.05.2020","6.747,70","6.772,20","6.815,90","6.680,70","203,87M","1,11%"
"04.05.2020","6.673,30","6.767,70","6.767,70","6.673,30","241,56M","-3,60%"
"30.04.2020","6.922,30","7.084,80","7.128,40","6.918,30","314,98M","-1,89%"
"29.04.2020","7.055,70","6.829,40","7.055,70","6.816,80","247,76M","3,21%"
"28.04.2020","6.836,40","6.724,60","6.857,90","6.707,90","233,78M","1,55%"
"27.04.2020","6.731,80","6.780,90","6.790,10","6.667,30","147,26M","1,78%"
"24.04.2020","6.613,90","6.641,30","6.710,80","6.578,10","182,93M","-1,97%"
"23.04.2020","6.746,50","6.758,70","6.797,60","6.713,60","163,72M","0,40%"
"22.04.2020","6.719,80","6.685,10","6.729,60","6.654,20","177,93M","1,28%"
"21.04.2020","6.634,90","6.741,30","6.760,90","6.634,90","200,78M","-2,88%"
"20.04.2020","6.831,50","6.932,50","6.933,30","6.715,00","186,64M","-0,64%"
"17.04.2020","6.875,80","6.942,50","7.000,30","6.845,00","251,27M","1,66%"
"16.04.2020","6.763,40","6.930,80","6.950,90","6.733,10","237,96M","-1,11%"
"15.04.2020","6.839,50","7.065,60","7.086,80","6.816,40","289,92M","-3,79%"
"14.04.2020","7.108,60","7.209,70","7.209,70","7.080,30","259,99M","0,54%"
"09.04.2020","7.070,60","7.049,30","7.116,80","6.918,70","240,35M","1,71%"
"08.04.2020","6.951,80","6.930,20","6.952,50","6.860,60","155,91M","-0,72%"
"07.04.2020","7.002,00","6.986,90","7.119,10","6.903,60","260,86M","2,30%"
"06.04.2020","6.844,30","6.807,90","6.874,90","6.728,60","225,97M","3,99%"
"03.04.2020","6.581,60","6.563,60","6.632,50","6.509,40","215,39M","0,11%"
"02.04.2020","6.574,10","6.633,70","6.658,90","6.424,50","233,31M","-0,08%"
"01.04.2020","6.579,40","6.627,30","6.687,80","6.565,20","235,11M","-3,04%"
"31.03.2020","6.785,40","6.746,80","6.802,00","6.624,70","258,18M","1,88%"
"30.03.2020","6.659,90","6.748,60","6.789,10","6.507,00","232,01M","-1,74%"
"27.03.2020","6.777,90","6.916,70","6.936,70","6.661,90","225,32M","-3,63%"
"26.03.2020","7.033,20","6.789,00","7.033,20","6.759,10","248,81M","1,31%"
"25.03.2020","6.942,40","6.985,90","7.058,10","6.625,80","322,63M","3,35%"
"24.03.2020","6.717,30","6.433,30","6.717,30","6.403,60","301,21M","7,82%"
"23.03.2020","6.230,20","6.223,70","6.472,00","6.148,00","282,03M","-3,31%"
"20.03.2020","6.443,30","6.645,40","6.769,90","6.371,10","486,80M","0,74%"
"19.03.2020","6.395,80","6.368,20","6.506,40","6.228,30","346,23M","1,93%"
"18.03.2020","6.274,80","6.370,50","6.524,20","6.174,10","398,61M","-3,44%"
"17.03.2020","6.498,50","6.444,50","6.557,30","6.083,00","388,45M","6,41%"
"16.03.2020","6.107,20","6.331,00","6.362,50","5.814,50","583,61M","-7,88%"
"13.03.2020","6.629,60","6.763,70","7.140,50","6.468,30","473,17M","3,74%"
"12.03.2020","6.390,90","7.040,80","7.077,70","6.347,00","723,61M","-14,06%"
"11.03.2020","7.436,40","7.589,30","7.717,10","7.364,60","369,15M","-0,34%"
"10.03.2020","7.461,50","7.815,60","8.007,70","7.440,60","506,03M","-3,21%"
"09.03.2020","7.708,70","7.884,00","8.022,90","7.621,40","598,77M","-7,96%"
"06.03.2020","8.375,60","8.532,60","8.542,00","8.310,40","345,90M","-3,54%"
"05.03.2020","8.683,00","8.960,80","8.962,50","8.639,90","342,80M","-2,55%"
"04.03.2020","8.910,00","8.827,80","8.963,70","8.745,90","321,26M","1,12%"
"03.03.2020","8.811,60","8.860,20","9.014,30","8.776,40","351,22M","0,80%"
"02.03.2020","8.741,50","8.910,20","8.913,50","8.541,10","355,48M","0,21%"
"28.02.2020","8.723,20","8.748,10","8.818,60","8.582,70","497,98M","-2,92%"
"27.02.2020","8.985,90","9.182,20","9.204,40","8.877,40","341,79M","-3,55%"
"26.02.2020","9.316,80","9.213,00","9.362,80","9.030,70","299,26M","0,71%"
"25.02.2020","9.250,80","9.507,00","9.518,90","9.248,00","263,35M","-2,45%"
"24.02.2020","9.483,50","9.649,80","9.676,80","9.459,60","256,06M","-4,07%"
"21.02.2020","9.886,20","9.893,00","9.946,40","9.843,50","194,95M","-0,45%"
"20.02.2020","9.931,00","10.048,70","10.050,30","9.931,00","178,85M","-1,51%"
"19.02.2020","10.083,60","10.042,00","10.100,20","10.020,70","151,87M","0,78%"
"18.02.2020","10.005,80","9.977,40","10.041,50","9.967,80","184,04M","-0,16%"
"17.02.2020","10.022,20","9.979,20","10.022,20","9.955,20","105,78M","0,66%"
"14.02.2020","9.956,80","9.910,90","9.969,70","9.905,20","127,06M","0,47%"
"13.02.2020","9.909,80","9.893,90","9.910,10","9.794,30","161,75M","-0,31%"
"12.02.2020","9.940,40","9.897,90","9.946,60","9.888,60","199,83M","0,58%"
"11.02.2020","9.882,60","9.863,40","9.884,00","9.817,80","167,63M","0,68%"
"10.02.2020","9.816,00","9.790,60","9.820,40","9.773,50","132,13M","0,05%"
"07.02.2020","9.811,00","9.789,30","9.816,20","9.761,80","179,59M","-0,00%"
"06.02.2020","9.811,30","9.767,10","9.816,20","9.757,00","248,42M","0,96%"
"05.02.2020","9.717,80","9.553,40","9.721,90","9.540,20","221,92M","1,62%"
"04.02.2020","9.562,90","9.465,90","9.577,30","9.462,40","174,13M","1,68%"
"03.02.2020","9.404,70","9.404,40","9.431,60","9.361,50","168,67M","0,39%"
